ID,Species,F1,F2,F3,F2/F3,F1/V,Eccentricity
79,BC15,0.15746,0.12765,0.10025,0.098967,0.086089,0.077681
80,BC15,0.15398,0.11784,0.10082,0.098991,0.08701,0.079851
81,BC15,0.12686,0.10383,0.086208,0.083714,0.075033,0.069262
82,BC15,0.14845,0.10524,0.094361,0.092344,0.080958,0.075756
83,BC15,0.18688,0.15298,0.11923,0.11545,0.099443,0.088399
84,BC15,0.18862,0.13665,0.11861,0.11247,0.095627,0.086554
85,BC15,0.19908,0.15544,0.12321,0.11792,0.099958,0.088112
86,BC15,0.18379,0.15301,0.12078,0.11641,0.10089,0.089515
87,BC15,0.14456,0.11792,0.10106,0.10174,0.092771,0.087857
88,BC15,0.14819,0.11289,0.098368,0.094299,0.082649,0.076278
89,BC15,0.12012,0.090633,0.082829,0.078357,0.069843,0.06567
90,BC15,0.14166,0.10194,0.091925,0.087877,0.076964,0.07166
91,BC15,0.19432,0.13838,0.11681,0.11229,0.095001,0.085639
92,BC15,0.17483,0.13399,0.11159,0.10666,0.091681,0.082696
93,BC15,0.18887,0.14818,0.11505,0.11434,0.098092,0.087476
94,BC15,0.18802,0.1485,0.11515,0.11322,0.09751,0.087168
95,BC15,0.13742,0.10035,0.086475,0.084346,0.073166,0.067621
96,BC15,0.12165,0.096046,0.082372,0.079406,0.070483,0.065049
3361,BT6,0.34871,0.28732,0.22564,0.2143,0.1813,0.15598
3362,BT6,0.31378,0.25939,0.20996,0.19398,0.16422,0.14139
3363,BT6,0.3692,0.30261,0.25492,0.22827,0.19294,0.16583
3364,BT6,0.33598,0.29075,0.23373,0.21814,0.1879,0.16279
3365,BT6,0.3494,0.29372,0.24099,0.21843,0.18525,0.15915
3366,BT6,0.37895,0.29467,0.23174,0.2241,0.18773,0.16214
3367,BT6,0.32554,0.26726,0.22377,0.20688,0.17732,0.15522
3368,BT6,0.33491,0.274,0.22627,0.20674,0.17524,0.15101
3369,BT6,0.28432,0.22352,0.18621,0.17372,0.14754,0.12862
3370,BT6,0.28128,0.2234,0.19119,0.17373,0.14766,0.12916
3371,BT6,0.34397,0.26556,0.23138,0.20835,0.17617,0.15377
3372,BT6,0.31292,0.24799,0.20515,0.19096,0.16112,0.13985
3373,BT6,0.32636,0.25756,0.21963,0.1974,0.166,0.14396
3374,BT6,0.31528,0.2519,0.21439,0.19537,0.16624,0.14541
3375,BT6,0.30264,0.22906,0.18612,0.17647,0.14722,0.12799
3376,BT6,0.30685,0.24637,0.20694,0.18944,0.16109,0.14047
3377,BT6,0.27416,0.21773,0.17885,0.16505,0.13844,0.11959
3378,BT6,0.26797,0.22185,0.1809,0.16767,0.14295,0.12448
3379,BT6,0.31281,0.26307,0.21089,0.19829,0.17004,0.14785
3380,BT6,0.31455,0.24298,0.19789,0.18537,0.15478,0.13379
3381,BT6,0.31001,0.24411,0.20439,0.18838,0.15903,0.13813
3382,BT6,0.30425,0.2464,0.19942,0.18592,0.15691,0.13575
3383,BT6,0.26453,0.21732,0.18202,0.1645,0.1395,0.1209
3384,BT6,0.28933,0.23006,0.18548,0.17781,0.15079,0.13163
3385,BT6,0.26377,0.21318,0.17702,0.16305,0.13795,0.11928
3386,BT6,0.25981,0.21144,0.18278,0.16414,0.14091,0.12376
3387,BT6,0.29268,0.24002,0.20229,0.18529,0.15817,0.13763
3388,BT6,0.29813,0.235,0.20235,0.18525,0.15831,0.13921
3389,BT6,0.29349,0.24081,0.20023,0.1841,0.15766,0.13798
3390,BT6,0.28894,0.22214,0.18515,0.17619,0.14969,0.13165
3391,BT6,0.25292,0.21073,0.17847,0.16294,0.14047,0.12347
3392,BT6,0.26468,0.22386,0.18647,0.17121,0.14778,0.12895
3393,BT6,0.26975,0.20758,0.17654,0.16411,0.13968,0.12341
3394,BT6,0.23865,0.2017,0.16551,0.15221,0.13082,0.11391
3395,BT6,0.29671,0.23592,0.19667,0.18037,0.15257,0.13237
3396,BT6,0.28694,0.23164,0.19281,0.17747,0.15082,0.13157
3397,BT6,0.27755,0.22192,0.18929,0.17284,0.14757,0.12949
3398,BT6,0.26238,0.21425,0.17932,0.16639,0.14294,0.12573
3399,BT6,0.24844,0.19579,0.17915,0.15896,0.13726,0.12232
3400,BT6,0.25766,0.21054,0.18014,0.1654,0.14285,0.12632
3401,BT6,0.23546,0.20062,0.15649,0.14788,0.12693,0.11067
3402,BT6,0.22488,0.18501,0.15809,0.14174,0.12142,0.10589
3403,BT6,0.27686,0.22499,0.19004,0.173,0.14837,0.13012
3404,BT6,0.28172,0.2213,0.18083,0.17003,0.14416,0.12579
3405,BT6,0.26276,0.21062,0.17887,0.16141,0.13738,0.11986
3406,BT6,0.27141,0.22403,0.18611,0.1723,0.14852,0.1305
3407,BT6,0.23136,0.19036,0.15959,0.14882,0.12897,0.11426
3408,BT6,0.23724,0.1972,0.16237,0.15222,0.13169,0.11615
3409,BT6,0.30975,0.23622,0.19778,0.18568,0.15664,0.13712
3410,BT6,0.29653,0.22601,0.19231,0.17957,0.15133,0.13241
3411,BT6,0.35526,0.29696,0.23762,0.21702,0.18251,0.15551
3412,BT6,0.32691,0.27719,0.22224,0.20166,0.17075,0.14556
3413,BT6,0.37175,0.29314,0.23653,0.22059,0.18371,0.15704
3414,BT6,0.3212,0.25727,0.21363,0.19683,0.16704,0.14455
3415,BT6,0.32262,0.25004,0.21832,0.19541,0.16474,0.14353
3416,BT6,0.32734,0.25022,0.21283,0.19626,0.16482,0.14369
3417,BT6,0.27362,0.21083,0.16552,0.15854,0.13224,0.11394
3418,BT6,0.24845,0.19311,0.16584,0.15142,0.1279,0.11214
3419,BT6,0.31819,0.25677,0.20155,0.18755,0.15554,0.1314
3420,BT6,0.30397,0.23805,0.19784,0.17887,0.1489,0.12773
3421,BT6,0.31092,0.26156,0.20971,0.19208,0.16232,0.13894
3422,BT6,0.26309,0.21641,0.17514,0.16444,0.1403,0.12229
3423,BT6,0.25648,0.20154,0.16535,0.15779,0.13484,0.11898
3424,BT6,0.25128,0.21787,0.17912,0.16307,0.14078,0.12249
3425,BT6,0.2321,0.19361,0.15468,0.14772,0.12754,0.11221
3426,BT6,0.23683,0.18958,0.15445,0.14662,0.12502,0.11025
3427,BT6,0.28676,0.23332,0.18442,0.17282,0.14518,0.12402
3428,BT6,0.27922,0.2293,0.18542,0.17077,0.14457,0.12472
3429,BT6,0.30607,0.2393,0.19737,0.18114,0.15141,0.13024
3430,BT6,0.23225,0.19298,0.16816,0.14927,0.12885,0.1127
3431,BT6,0.23336,0.18728,0.15217,0.14372,0.12219,0.10667
3432,BT6,0.23994,0.1908,0.17067,0.15187,0.13048,0.1157
3433,BT6,0.2274,0.18045,0.15891,0.14386,0.12352,0.10903
3434,BT6,0.22214,0.18205,0.1528,0.13907,0.11859,0.10337
3435,BT6,0.28066,0.21449,0.17748,0.16558,0.13846,0.12004
3436,BT6,0.27282,0.22759,0.18418,0.16898,0.14306,0.12281
3437,BT6,0.29063,0.23511,0.19507,0.17796,0.15096,0.1307
3438,BT6,0.2568,0.19769,0.17142,0.15698,0.13365,0.11791
3439,BT6,0.21922,0.17599,0.15544,0.13967,0.12002,0.106
3440,BT6,0.23885,0.19563,0.16433,0.15337,0.1322,0.117
3441,BT6,0.22764,0.17851,0.14329,0.13757,0.11673,0.10253
3442,BT6,0.21108,0.17388,0.1446,0.13331,0.11416,0.099939
3443,BT6,0.26156,0.21077,0.17488,0.16111,0.13625,0.11839
3444,BT6,0.26185,0.20646,0.16897,0.15854,0.13466,0.11757
3445,BT6,0.26023,0.2134,0.17365,0.16156,0.1374,0.11914
3446,BT6,0.23125,0.18637,0.15702,0.14516,0.12447,0.10936
3447,BT6,0.2122,0.1863,0.1551,0.14008,0.12206,0.1068
3448,BT6,0.23684,0.19511,0.15683,0.14854,0.1271,0.11144
3449,BT6,0.19993,0.15573,0.13644,0.12364,0.10578,0.093312
3450,BT6,0.19365,0.15484,0.12954,0.12126,0.1042,0.092584
3451,BT6,0.25648,0.20645,0.16703,0.15652,0.13279,0.11587
3452,BT6,0.23813,0.19631,0.16475,0.1481,0.12582,0.10895
3453,BT6,0.27141,0.2191,0.17455,0.16391,0.13868,0.12004
3454,BT6,0.24238,0.19586,0.15141,0.14806,0.12616,0.11038
3455,BT6,0.20011,0.15498,0.13706,0.12335,0.10526,0.09301
3456,BT6,0.22182,0.18108,0.14418,0.13628,0.11644,0.10213
3457,KB6,0.22256,0.16469,0.13127,0.12761,0.10655,0.093103
3458,KB6,0.20956,0.15405,0.12543,0.12212,0.10241,0.09075
3459,KB6,0.29389,0.21501,0.16753,0.16031,0.13041,0.11038
3460,KB6,0.22033,0.17307,0.14259,0.13255,0.11226,0.097983
3461,KB6,0.31223,0.22823,0.18356,0.17535,0.14431,0.12439
3462,KB6,0.24668,0.19223,0.15971,0.14846,0.12596,0.11053
3463,KB6,0.24373,0.18376,0.14751,0.13907,0.11527,0.099328
3464,KB6,0.21833,0.16683,0.13995,0.13041,0.11025,0.097352
3465,KB6,0.17435,0.1301,0.10852,0.10259,0.086631,0.076963
3466,KB6,0.16091,0.11745,0.10036,0.095703,0.081739,0.074013
3467,KB6,0.21722,0.16286,0.12572,0.12232,0.10107,0.087264
3468,KB6,0.20477,0.14108,0.12972,0.12109,0.10314,0.093919
3469,KB6,0.23597,0.16155,0.13062,0.12787,0.10458,0.091551
3470,KB6,0.20148,0.16327,0.13252,0.12144,0.10275,0.089038
3471,KB6,0.17114,0.13272,0.10814,0.10315,0.08797,0.078133
3472,KB6,0.168,0.12945,0.11292,0.10344,0.089107,0.079844
3473,KB6,0.16139,0.12031,0.10352,0.097561,0.083602,0.074986
3474,KB6,0.15971,0.11693,0.095676,0.091849,0.077022,0.067673
3475,KB6,0.19178,0.15059,0.11473,0.11433,0.096857,0.085076
3476,KB6,0.19373,0.14593,0.12281,0.1132,0.09494,0.083034
3477,KB6,0.20039,0.15451,0.12599,0.1193,0.10119,0.089103
3478,KB6,0.19841,0.15875,0.13063,0.12123,0.10359,0.090849
3479,KB6,0.15625,0.12398,0.10353,0.095777,0.082102,0.072625
3480,KB6,0.16693,0.12365,0.10732,0.10261,0.08824,0.079968
3481,KB6,0.16235,0.13014,0.10582,0.1016,0.088141,0.078947
3482,KB6,0.15093,0.11865,0.10253,0.096003,0.083563,0.075752
3483,KB6,0.17273,0.13756,0.12075,0.10959,0.095144,0.085043
3484,KB6,0.16854,0.1357,0.11472,0.10809,0.093884,0.083676
3485,KB6,0.19415,0.1419,0.12329,0.11525,0.097742,0.087239
3486,KB6,0.19122,0.14173,0.12555,0.11543,0.097999,0.087585
3487,KB6,0.14703,0.11714,0.10526,0.0964,0.084513,0.07698
3488,KB6,0.1556,0.12418,0.10785,0.10083,0.088174,0.079548
3489,KB6,0.14161,0.10477,0.094316,0.084727,0.072419,0.065156
3490,KB6,0.13498,0.11101,0.09214,0.089593,0.079457,0.072516
3491,KB6,0.17431,0.1306,0.10747,0.1065,0.09129,0.082676
3492,KB6,0.17912,0.1289,0.1122,0.10665,0.09122,0.082946
3493,KB6,0.17593,0.1257,0.10978,0.10121,0.08503,0.075611
3494,KB6,0.18343,0.14442,0.11626,0.11476,0.099341,0.089252
3495,KB6,0.14699,0.11493,0.10284,0.096478,0.085198,0.078207
3496,KB6,0.16759,0.12385,0.10148,0.099223,0.084655,0.076061
3497,KB6,0.10655,0.094153,0.072958,0.071077,0.062783,0.056355
3498,KB6,0.11377,0.087278,0.078276,0.074395,0.065613,0.061024
3499,KB6,0.14206,0.11007,0.096005,0.090571,0.079054,0.071906
3500,KB6,0.151,0.12303,0.10173,0.097332,0.085338,0.076759
3501,KB6,0.18173,0.13935,0.11913,0.1137,0.098177,0.088631
3502,KB6,0.1733,0.14573,0.11535,0.10894,0.094118,0.082716
3503,KB6,0.1204,0.092405,0.081879,0.077479,0.068354,0.063109
3504,KB6,0.13189,0.11695,0.097282,0.092562,0.083334,0.076228
3505,KB6,0.20611,0.16092,0.12719,0.12142,0.10183,0.088778
3506,KB6,0.19163,0.14926,0.11844,0.11294,0.09536,0.083293
3507,KB6,0.24274,0.17838,0.15083,0.14464,0.12223,0.10875
3508,KB6,0.24475,0.17992,0.15325,0.14539,0.12264,0.1087
3509,KB6,0.24659,0.18648,0.15513,0.14489,0.12085,0.10498
3510,KB6,0.24061,0.21416,0.16642,0.15489,0.13317,0.11436
3511,KB6,0.21817,0.16715,0.13657,0.12682,0.10554,0.091182
3512,KB6,0.22627,0.18221,0.15661,0.13995,0.11954,0.10467
3513,KB6,0.17126,0.13785,0.11128,0.10473,0.089184,0.078353
3514,KB6,0.16724,0.12408,0.10522,0.098064,0.082527,0.072577
3515,KB6,0.21974,0.16884,0.1357,0.13175,0.11135,0.09852
3516,KB6,0.23092,0.17543,0.13797,0.13228,0.11027,0.095608
3517,KB6,0.23075,0.17526,0.13939,0.13438,0.11247,0.098088
3518,KB6,0.22665,0.16617,0.13936,0.13182,0.11086,0.098257
3519,KB6,0.18405,0.14014,0.11703,0.11136,0.094842,0.084677
3520,KB6,0.18178,0.13749,0.12779,0.11151,0.095035,0.084866
3521,KB6,0.15949,0.13594,0.1034,0.10076,0.087091,0.076281
3522,KB6,0.15029,0.12711,0.09547,0.094052,0.080826,0.070735
3523,KB6,0.19505,0.1588,0.12741,0.12317,0.1061,0.094098
3524,KB6,0.21069,0.16709,0.14028,0.13,0.11164,0.098959
3525,KB6,0.21563,0.16832,0.14413,0.13258,0.11343,0.10117
3526,KB6,0.19656,0.16044,0.12844,0.11941,0.10137,0.087818
3527,KB6,0.16912,0.1216,0.11078,0.10046,0.085542,0.077087
3528,KB6,0.17,0.13282,0.10388,0.10281,0.088347,0.078358
3529,KB6,0.16767,0.1259,0.10341,0.098197,0.082838,0.073284
3530,KB6,0.15873,0.11916,0.10074,0.094853,0.080157,0.071029
3531,KB6,0.18835,0.14522,0.12113,0.11511,0.099022,0.088619
3532,KB6,0.19976,0.15739,0.12897,0.12122,0.10302,0.090649
3533,KB6,0.20146,0.15771,0.12712,0.11993,0.10096,0.088185
3534,KB6,0.18708,0.14791,0.12335,0.11341,0.096552,0.084363
3535,KB6,0.16098,0.11744,0.10216,0.099804,0.086484,0.078997
3536,KB6,0.16745,0.1369,0.11765,0.11031,0.097339,0.088197
3537,KB6,0.15244,0.10749,0.10066,0.091506,0.078135,0.071024
3538,KB6,0.14993,0.11372,0.096041,0.092888,0.080176,0.072716
3539,KB6,0.17205,0.13511,0.10932,0.10762,0.093302,0.084152
3540,KB6,0.19148,0.13953,0.11806,0.11095,0.093274,0.082526
3541,KB6,0.19081,0.13319,0.12238,0.11207,0.09521,0.086263
3542,KB6,0.21747,0.15639,0.13093,0.12548,0.10489,0.092985
3543,KB6,0.15409,0.10891,0.098763,0.091752,0.077853,0.070481
3544,KB6,0.17204,0.12911,0.11599,0.10948,0.095808,0.088046
3545,KB6,0.1239,0.10647,0.0878,0.085165,0.076375,0.070555
3546,KB6,0.13412,0.098027,0.08955,0.082956,0.072073,0.066558
3547,KB6,0.16078,0.12816,0.10581,0.10164,0.088008,0.078979
3548,KB6,0.20189,0.15385,0.13264,0.12251,0.10478,0.09346
3549,KB6,0.18405,0.14405,0.12102,0.11339,0.097375,0.087297
3550,KB6,0.17307,0.13897,0.10514,0.10443,0.088851,0.077684
3551,KB6,0.12069,0.099678,0.085916,0.081991,0.073246,0.067281
3552,KB6,0.14271,0.11586,0.10276,0.10157,0.092754,0.087243
3649,MT15,0.15438,0.10441,0.093588,0.08837,0.073816,0.066347
3650,MT15,0.13793,0.097168,0.084998,0.079568,0.066508,0.059333
3651,MT15,0.19933,0.1479,0.11902,0.11333,0.093102,0.08015
3652,MT15,0.2257,0.15574,0.12983,0.12804,0.10631,0.094073
3653,MT15,0.21441,0.15791,0.12953,0.123,0.10264,0.089405
3654,MT15,0.21695,0.14993,0.12358,0.12418,0.10351,0.091665
3655,MT15,0.14947,0.11501,0.091535,0.090881,0.078193,0.07011
3656,MT15,0.1507,0.12055,0.091614,0.096659,0.08437,0.075914
3657,MT15,0.14621,0.11737,0.089855,0.086782,0.073367,0.064281
3658,MT15,0.13603,0.093229,0.073794,0.075233,0.0624,0.05577
3659,MT15,0.20065,0.14708,0.11595,0.10962,0.089353,0.076283
3660,MT15,0.20893,0.14674,0.11722,0.11165,0.090602,0.078118
3661,MT15,0.19884,0.15148,0.1156,0.11333,0.093709,0.080693
3662,MT15,0.18348,0.1486,0.10692,0.10771,0.090401,0.077969
