ID,Species,F1,F2,F3,F2/F3,F1/V,Eccentricity
3748,SHPT1,0.26567,0.21634,0.1815,0.16576,0.14174,0.12424
3749,SHPT1,0.33542,0.25015,0.21083,0.19687,0.16538,0.1452
3750,SHPT1,0.26464,0.20193,0.17553,0.16125,0.13726,0.12126
3751,SHPT1,0.27379,0.21762,0.1739,0.16701,0.14181,0.12428
3752,SHPT1,0.27929,0.23014,0.18722,0.17446,0.149,0.13018
3753,SHPT1,0.20598,0.17077,0.14242,0.13267,0.11515,0.1025
3754,SHPT1,0.21411,0.17529,0.14255,0.13907,0.12162,0.1095
3755,SHPT1,0.27352,0.21478,0.17158,0.16287,0.13726,0.11972
3756,SHPT1,0.24319,0.18904,0.15103,0.14546,0.12326,0.10848
3757,SHPT1,0.26016,0.2011,0.16443,0.1546,0.13075,0.11516
3758,SHPT1,0.22293,0.16949,0.1381,0.13467,0.11488,0.10242
3759,SHPT1,0.2183,0.16374,0.14296,0.13476,0.11562,0.10409
3760,SHPT1,0.22343,0.17471,0.14625,0.13805,0.1179,0.10478
3761,SHPT1,0.18941,0.14971,0.12877,0.12052,0.10475,0.094211
3762,SHPT1,0.19678,0.1633,0.12407,0.12384,0.10663,0.094267
3763,SHPT1,0.24641,0.19557,0.15847,0.14707,0.1239,0.10742
3764,SHPT1,0.23573,0.18005,0.1523,0.14247,0.12126,0.10759
3765,SHPT1,0.24368,0.19887,0.16245,0.15224,0.13105,0.11585
3766,SHPT1,0.21905,0.17982,0.14206,0.13859,0.11937,0.10595
3767,SHPT1,0.21135,0.15835,0.1369,0.12994,0.11136,0.099956
3768,SHPT1,0.20934,0.17481,0.1432,0.13552,0.11747,0.10439
3769,SHPT1,0.1923,0.15561,0.1357,0.12458,0.1089,0.098115
3770,SHPT1,0.19608,0.15171,0.13323,0.1264,0.11047,0.10054
3771,SHPT1,0.23725,0.19231,0.15547,0.14627,0.12533,0.1101
3772,SHPT1,0.21527,0.17961,0.15017,0.13722,0.11873,0.10546
3773,SHPT1,0.23259,0.18113,0.15481,0.14401,0.12371,0.11041
3774,SHPT1,0.22271,0.17473,0.15248,0.14166,0.12317,0.11166
3775,SHPT1,0.19338,0.15944,0.13803,0.12725,0.11159,0.10029
3776,SHPT1,0.20221,0.15859,0.13562,0.12832,0.11162,0.10078
3777,SHPT1,0.17265,0.13827,0.11821,0.11115,0.097029,0.087497
3778,SHPT1,0.17568,0.14871,0.11951,0.11527,0.10167,0.091389
3779,SHPT1,0.23758,0.178,0.14388,0.13902,0.11711,0.10325
3780,SHPT1,0.2033,0.16403,0.13373,0.12702,0.10964,0.097316
3781,SHPT1,0.21218,0.1672,0.14108,0.12925,0.11015,0.097004
3782,SHPT1,0.19504,0.16343,0.13226,0.12497,0.10882,0.096888
3783,SHPT1,0.19101,0.15471,0.13124,0.12269,0.10754,0.097083
3784,SHPT1,0.19026,0.14855,0.12704,0.11792,0.10193,0.091163
3785,SHPT1,0.14236,0.12038,0.10418,0.096397,0.086088,0.078602
3786,SHPT1,0.15166,0.12446,0.10634,0.10002,0.088236,0.080222
3787,SHPT1,0.23417,0.18664,0.15179,0.14555,0.12607,0.11294
3788,SHPT1,0.21182,0.16746,0.13514,0.12932,0.11076,0.098165
3789,SHPT1,0.2064,0.1505,0.13243,0.12318,0.10494,0.094216
3790,SHPT1,0.14505,0.11339,0.098228,0.091864,0.080001,0.072625
3791,SHPT1,0.15402,0.13176,0.11209,0.10631,0.095438,0.08759
3792,SHPT1,0.18277,0.14873,0.13337,0.12687,0.1152,0.10848
3793,SHPT1,0.26772,0.20177,0.16775,0.15491,0.1291,0.11205
3794,SHPT1,0.3148,0.23776,0.19553,0.18504,0.15544,0.13622
3795,SHPT1,0.36921,0.26,0.22192,0.20766,0.17174,0.15117
3796,SHPT1,0.27045,0.21527,0.17334,0.16138,0.13603,0.11775
3797,SHPT1,0.30148,0.21904,0.18395,0.17885,0.1521,0.13693
3798,SHPT1,0.27155,0.21555,0.18534,0.16951,0.14542,0.12849
3799,SHPT1,0.29113,0.22481,0.17912,0.16933,0.14133,0.12232
3800,SHPT1,0.2817,0.20925,0.17646,0.16433,0.13731,0.11984
3801,SHPT1,0.21404,0.17582,0.14063,0.13825,0.12192,0.11088
3802,SHPT1,0.23491,0.19026,0.15824,0.14902,0.12997,0.11728
3803,SHPT1,0.28241,0.21821,0.17242,0.16924,0.14323,0.12619
3804,SHPT1,0.23072,0.19042,0.16181,0.14842,0.12868,0.11441
3805,SHPT1,0.23323,0.18016,0.15799,0.14835,0.12953,0.11898
3806,SHPT1,0.20077,0.16044,0.12796,0.12392,0.10648,0.094654
3807,SHPT1,0.19057,0.15632,0.13122,0.12283,0.10655,0.094773
3808,SHPT1,0.20815,0.15976,0.14004,0.12987,0.11132,0.099892
3809,SHPT1,0.19554,0.14721,0.13168,0.11853,0.10104,0.090174
3810,SHPT1,0.21008,0.17173,0.13601,0.12682,0.1072,0.093205
3811,SHPT1,0.25225,0.20963,0.16242,0.1551,0.13181,0.11404
3812,SHPT1,0.21897,0.18406,0.15016,0.13901,0.11951,0.10434
3813,SHPT1,0.20274,0.16482,0.13396,0.12685,0.10909,0.096365
3814,SHPT1,0.19313,0.15456,0.13244,0.12472,0.10917,0.098505
3815,SHPT1,0.18287,0.15484,0.12299,0.11777,0.10205,0.090447
3816,SHPT1,0.21014,0.16799,0.13863,0.1306,0.11221,0.099424
3817,SHPT1,0.18778,0.15749,0.13202,0.12372,0.10912,0.098779
3818,SHPT1,0.20659,0.17221,0.14121,0.13318,0.11609,0.1039
3819,SHPT1,0.25298,0.19979,0.16702,0.15715,0.13501,0.12021
3820,SHPT1,0.20979,0.16356,0.14098,0.13247,0.11454,0.10297
3821,SHPT1,0.19273,0.14062,0.12953,0.12058,0.10424,0.095355
3822,SHPT1,0.20003,0.14509,0.13229,0.12118,0.10376,0.094505
3823,SHPT1,0.18701,0.16048,0.13232,0.12397,0.10934,0.098216
3824,SHPT1,0.19407,0.15716,0.13159,0.12621,0.11051,0.10025
3825,SHPT1,0.17635,0.14037,0.11598,0.11149,0.097361,0.087988
3826,SHPT1,0.20512,0.16245,0.1315,0.12906,0.11223,0.10145
3827,SHPT1,0.22595,0.17688,0.14997,0.13839,0.11804,0.10447
3828,SHPT1,0.20206,0.16037,0.13163,0.12818,0.11151,0.10083
3829,SHPT1,0.17547,0.13981,0.12028,0.11036,0.095819,0.085766
3830,SHPT1,0.17526,0.1485,0.12437,0.11345,0.099252,0.088495
3831,SHPT1,0.18564,0.14381,0.12528,0.12089,0.10657,0.097999
3832,SHPT1,0.20047,0.1646,0.1426,0.13465,0.12001,0.11018
3833,SHPT1,0.14899,0.11515,0.10653,0.10076,0.090687,0.085546
3834,SHPT1,0.17658,0.13481,0.11708,0.11138,0.096913,0.088413
3835,SHPT1,0.23099,0.17916,0.14585,0.14033,0.12046,0.10755
3836,SHPT1,0.21154,0.17296,0.14603,0.13819,0.12139,0.10987
3837,SHPT1,0.18707,0.15258,0.12854,0.12118,0.10614,0.095589
3838,SHPT1,0.15177,0.12414,0.10791,0.10109,0.089265,0.08159
3839,SHPT1,0.15132,0.1196,0.096767,0.095328,0.08289,0.074871
3840,SHPT1,0.16203,0.1343,0.1137,0.1096,0.097762,0.089722
4033,ThuanViet2,0.22623,0.17558,0.14234,0.13879,0.11872,0.10508
4034,ThuanViet2,0.20653,0.17105,0.13325,0.1286,0.10999,0.096343
4035,ThuanViet2,0.24624,0.17469,0.13262,0.13439,0.1099,0.095473
4036,ThuanViet2,0.21977,0.17954,0.14815,0.13594,0.11571,0.10155
4037,ThuanViet2,0.29206,0.20741,0.17412,0.16295,0.13384,0.11635
4038,ThuanViet2,0.32657,0.22472,0.18251,0.17695,0.14364,0.12479
4039,ThuanViet2,0.26877,0.2127,0.17188,0.1601,0.13436,0.11695
4040,ThuanViet2,0.27254,0.19514,0.16456,0.156,0.12975,0.11382
4041,ThuanViet2,0.18323,0.14337,0.12914,0.12225,0.10825,0.099757
4042,ThuanViet2,0.17043,0.14731,0.11454,0.11102,0.097341,0.086774
4043,ThuanViet2,0.18556,0.14746,0.11659,0.11469,0.098849,0.088927
4044,ThuanViet2,0.21662,0.15837,0.13253,0.1245,0.1047,0.092742
4045,ThuanViet2,0.23223,0.1719,0.14366,0.13592,0.11417,0.10135
4046,ThuanViet2,0.22669,0.18115,0.14754,0.13612,0.11541,0.10039
4047,ThuanViet2,0.20765,0.16619,0.13231,0.12665,0.10857,0.096022
4048,ThuanViet2,0.20004,0.15511,0.13055,0.12144,0.10311,0.091541
4049,ThuanViet2,0.18092,0.13378,0.11423,0.10764,0.091696,0.082512
4050,ThuanViet2,0.16031,0.1283,0.10603,0.099994,0.086595,0.077537
4051,ThuanViet2,0.18292,0.13891,0.11115,0.10701,0.090269,0.079992
4052,ThuanViet2,0.19056,0.14936,0.122,0.11699,0.10039,0.089364
4053,ThuanViet2,0.20434,0.1526,0.12024,0.11987,0.10097,0.089077
4054,ThuanViet2,0.19478,0.15285,0.12577,0.11787,0.10106,0.089813
4055,ThuanViet2,0.19653,0.12841,0.11147,0.10874,0.090505,0.08187
4056,ThuanViet2,0.18485,0.15304,0.13471,0.12223,0.1078,0.09806
4057,ThuanViet2,0.16197,0.11997,0.10498,0.10158,0.088312,0.081218
4058,ThuanViet2,0.14703,0.12159,0.10092,0.095068,0.083368,0.074818
4059,ThuanViet2,0.16834,0.13565,0.10874,0.10407,0.09,0.080242
4060,ThuanViet2,0.18627,0.14617,0.12012,0.11696,0.10125,0.091428
4061,ThuanViet2,0.18838,0.15471,0.12933,0.11979,0.10353,0.09218
4062,ThuanViet2,0.18454,0.1484,0.13052,0.11987,0.10553,0.095896
4063,ThuanViet2,0.16231,0.13896,0.12273,0.10874,0.095406,0.084892
4064,ThuanViet2,0.18156,0.13876,0.12411,0.11491,0.10006,0.090781
4065,ThuanViet2,0.15501,0.13063,0.10315,0.10007,0.08798,0.079026
4066,ThuanViet2,0.15371,0.11538,0.099315,0.098129,0.085976,0.07933
4067,ThuanViet2,0.1691,0.12839,0.10998,0.10269,0.088057,0.079213
4068,ThuanViet2,0.17446,0.13763,0.11176,0.10814,0.094264,0.084785
4069,ThuanViet2,0.1834,0.15158,0.1231,0.11744,0.1025,0.092343
4070,ThuanViet2,0.16858,0.14465,0.12098,0.11199,0.098858,0.088953
4071,ThuanViet2,0.16382,0.1275,0.12123,0.1072,0.093981,0.08606
4072,ThuanViet2,0.16956,0.13803,0.11321,0.10888,0.094984,0.085698
4073,ThuanViet2,0.13316,0.10077,0.086543,0.083879,0.073603,0.067913
4074,ThuanViet2,0.12762,0.10287,0.085629,0.085543,0.076871,0.072127
4075,ThuanViet2,0.13169,0.099224,0.086579,0.082936,0.072693,0.066916
